Country Name,Country Code,Series,Series Code,2000 [YR2000],2001 [YR2001],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],PercentChange0116,PercentChange1116
Europe & Central Asia (excluding high income),ECA,"Total net enrolment rate, lower secondary, both sexes (%)",UIS.NERT.2,92.15809,93.86765,94.63673,95.22865,95.4927,95.5779,95.13245,95.01858,95.33175,0.0122612,0.004034903
European Union,EUU,"Net enrolment rate, secondary, both sexes (%)",SE.SEC.NENR,86.8878,87.53482,90.77394,90.4607,90.81323,91.31905,91.66939,91.58532,91.62029,0.046273015,0.008938468
European Union,EUU,"Total net enrolment rate, lower secondary, both sexes (%)",UIS.NERT.2,96.525,96.58463,97.06014,96.67489,96.90993,96.88517,97.19833,97.35945,97.37881,0.008022187,0.003083758
European Union,EUU,"Net enrolment rate, pre-primary, both sexes (%)",SE.PRE.NENR,,,,,,,,,,,
European Union,EUU,"Total net enrolment rate, primary, both sexes (%)",UIS.NERT.1,,,,,,,,,,,
European Union,EUU,"Literacy rate, population 25-64 years, both sexes (%)",UIS.LR.AG25T64,99.11419,99.19812,99.46531,99.47619,99.49233,99.49561,99.50256,99.51024,,0.003146431,0.000451715
European Union,EUU,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,99.4187,99.46771,99.71133,99.72176,99.73105,99.74375,99.74567,,,,
European Union,EUU,"Gross enrolment ratio, post-secondary non-tertiary, both sexes (%)",UIS.GER.4,,,,,,,,,,,
European Union,EUU,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,98.53034,98.61364,99.00245,99.03498,99.06807,99.08536,99.10534,99.12999,,0.005236091,0.001288251
Faroe Islands,FRO,"Total net enrolment rate, primary, both sexes (%)",UIS.NERT.1,,,,,,,,,,,
