Country Name,Country Code,Series,Series Code,2000 [YR2000],2001 [YR2001],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],PercentChange0116,PercentChange1116
Heavily indebted poor countries (HIPC),HPC,"Literacy rate, population 25-64 years, both sexes (%)",UIS.LR.AG25T64,47.66157,48.7116,52.49669,53.69606,53.896,54.79493,55.31242,56.11546,,0.151993776,0.068933298
Heavily indebted poor countries (HIPC),HPC,"Gross enrolment ratio, post-secondary non-tertiary, both sexes (%)",UIS.GER.4,,,,,,,,,,,
Heavily indebted poor countries (HIPC),HPC,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,59.98083,60.48697,68.37217,69.96781,70.6169,71.74774,72.49794,73.19111,,0.21003102,0.070481016
High income,HIC,"Total net enrolment rate, primary, both sexes (%)",UIS.NERT.1,,,,,,,,,,,
High income,HIC,"Net enrolment rate, pre-primary, both sexes (%)",SE.PRE.NENR,,,,,,,,,,,
High income,HIC,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,,,,,,,,,,,
High income,HIC,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,,,,,,,,,,,
High income,HIC,"Literacy rate, population 25-64 years, both sexes (%)",UIS.LR.AG25T64,,,,,,,,,,,
High income,HIC,"Gross enrolment ratio, post-secondary non-tertiary, both sexes (%)",UIS.GER.4,,,,,,,,,,,
High income,HIC,"Net enrolment rate, secondary, both sexes (%)",SE.SEC.NENR,86.96842,87.66277,90.2506,90.44223,90.91316,91.3659,92.03431,92.54415,92.54357,0.055683616,0.025413127
High income,HIC,"Total net enrolment rate, lower secondary, both sexes (%)",UIS.NERT.2,96.98488,97.40999,98.03843,97.73767,97.86809,97.79033,98.32748,98.22612,98.23022,0.008378299,0.001914453
Honduras,HND,GDP per capita (constant LCU),NY.GDP.PCAP.KN,16347.26758,16368.98274,19871.43781,,20517.29166,20781.24773,21173.42045,21571.67442,,0.317838424,0.085561832
Honduras,HND,"Total net enrolment rate, lower secondary, both sexes (%)",UIS.NERT.2,,,,,66.10969,62.46399,63.10399,61.87912,61.81458,,
Honduras,HND,"Net enrolment rate, pre-primary, both sexes (%)",SE.PRE.NENR,20.49429,,36.78574,36.45753,36.27207,37.52226,34.58358,36.65181,36.79579,,-0.003640813
Honduras,HND,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,,88.94272,95.925,94.98095,95.06649,95.67707,96.00751,96.12654,,0.080769061,0.002101016
Honduras,HND,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,,80.01103,85.1233,85.35555,85.46442,87.19753,87.90683,88.98748,,0.112190157,0.045395092
Honduras,HND,"Gross enrolment ratio, post-secondary non-tertiary, both sexes (%)",UIS.GER.4,,,,,,,,,,,
Honduras,HND,"Net enrolment rate, secondary, both sexes (%)",SE.SEC.NENR,,,,,42.20253,41.1479,40.80784,42.5185,43.77822,,
Honduras,HND,"Total net enrolment rate, primary, both sexes (%)",UIS.NERT.1,85.74906,,87.69119,84.39327,81.42536,80.66843,79.90392,81.16617,82.53861,,-0.074409071
Honduras,HND,"Literacy rate, population 25-64 years, both sexes (%)",UIS.LR.AG25T64,,78.38187,84.50161,84.76153,85.02445,86.7629,87.62909,88.79438,,0.132843348,0.050801044
"Hong Kong SAR, China",HKG,GDP per capita (constant LCU),NY.GDP.PCAP.KN,212240.9602,211864.2301,312502.6868,,322775.6342,329370.4959,334376.9972,339500.0409,349744.9842,0.60244153,0.08639079
"Hong Kong SAR, China",HKG,"Net enrolment rate, secondary, both sexes (%)",SE.SEC.NENR,,72.8222,78.43632,90.01135,88.72314,88.86817,89.30273,91.4471,93.73494,0.255758546,0.165876981
"Hong Kong SAR, China",HKG,GDP per capita (constant LCU),NY.GDP.PCAP.KN,208780.045,208409.3651,307406.5275,,317512.1537,323999.4467,328945.0441,333601.3957,,0.600702519,0.085212466
"Hong Kong SAR, China",HKG,"Total net enrolment rate, lower secondary, both sexes (%)",UIS.NERT.2,,93.651,97.21429,94.37017,93.503,96.85709,99.91826,99.32359,99.42098,0.06057159,0.021697427
